2025-10-24,Dayseeker,Creature in the Black Night,
2025-10-24,Doro,Warriors of the Sea (compilation album),
2025-10-24,Ektomorf,Heretic,
2025-10-24,Five Finger Death Punch,Best Of – Volume 2 (compilation album of re-recordings),
2025-10-24,Leprous,An Evening of Atonement (live album),
2025-10-24,Nine Treasures,Seeking the Absolute,
2025-10-24,Ronnie Romero,Backbone,
2025-10-24,Seraina Telli,Green,
2025-10-24,Serj Tankian,"Covers, Collaborations & Collages (compilation album)",
2025-10-24,Soulfly,Chama,
2025-10-24,Sumo Cyco,Neon Void,
2025-10-24,Warrant,The Speed of Metal,
2025-10-24,Wino,Create or Die,
2025-10-31,Aria,When Tomorrow Comes,
2025-10-31,Avatar,Don't Go in the Forest,
2025-10-31,Aviana,Void,
2025-10-31,Despised Icon,Shadow Work,
2025-10-31,King 810,Rustbelt Numetal 2,
2025-10-31,Moonspell,Opus Diabolicum (live album),
2025-10-31,Mystic Circle,Hexenbrand 1486,
2025-10-31,Primitive Man,Observance,
2025-10-31,Runemagick,Cycle of the Dying Sun (Dawn of Ashen Realms),
2025-10-31,Smash into Pieces,Armaheaven,
2025-10-31,Trivium,Struck Dead (EP),E
2025-11-07,Agnostic Front,Echoes in Eternity,
2025-11-07,Alcatrazz,Prior Convictions,
2025-11-07,Astronoid,Stargod,
2025-11-07,Drain,...Is Your Friend,
2025-11-07,Esprit D'Air,Aeons,
2025-11-07,Finger Eleven,Last Night on Earth,
2025-11-07,Novembre,Words of Indigo,
2025-11-07,Omnium Gatherum,May the Bridges We Burn Light the Way,
2025-11-07,Pupil Slicer,Fleshwork,
2025-11-14,1914,Viribus Unitis,
2025-11-14,The Devil Wears Prada,Flowers,
2025-11-14,Of Mice & Men,Another Miracle,
2025-11-20,AngelMaker,This Used to Be Heaven,
2025-11-21,Bloodbound,Field of Swords,
2025-11-21,Dream Theater,Dream Theater Vol. 3 (box set),
2025-11-21,The Halo Effect,We Are Shadows (covers EP),
2025-11-21,Sortilège,Le Poids de L’Âme,
2025-11-21,Stryper,The Greatest Gift of All,
2025-11-21,Treat,The Wild Card,
2025-11-26,Master's Hammer,Maldorör Disco,
2025-11-28,1349,Winter Mass (live album),
2025-11-28,Blut Aus Nord,Ethereal Horizons,
2025-11-28,Dream Theater,Quarantième: Live à Paris (live album),
2025-11-28,Equilibrium,Equinox,
2025-11-28,Lynch Mob,Dancing with the Devil,
2025-12-05,Blood Red Throne,Siltskin,
2025-12-05,Enthroned,Ashspawn,
2025-12-05,Persefone,Live in Andorra (live album),
2025-12-05,Tesseract,Radar (live album),
2025-12-12,Dangerous Toys,Demolition (compilation album),
2025-12-12,Lord of the Lost,Opvs Noir Vol. 2,
